ds,ts
2011-04-13,4.0
2011-04-14,5.0
2011-04-15,1.0
2011-04-16,8.0
2011-04-17,2.0
2011-04-18,4.0
2011-04-19,7.0
2011-04-20,7.0
2011-04-21,7.0
2011-04-22,5.0
2011-04-23,7.0
2011-04-24,6.0
2011-04-25,5.0
2011-04-26,3.0
2011-04-27,6.0
2011-04-28,2.0
2011-04-29,6.0
2011-04-30,3.0
2011-05-01,10.0
2011-05-02,8.0
2011-05-03,7.0
2011-05-04,5.0
2011-05-05,7.0
2011-05-06,5.0
2011-05-07,7.0
2011-05-08,7.0
2011-05-09,2.0
2011-05-10,4.0
2011-05-11,5.0
2011-05-12,5.0
2011-05-13,5.0
2011-05-14,4.0
2011-05-15,5.0
2011-05-16,12.0
2011-05-17,7.0
2011-05-18,5.0
2011-05-19,4.0
2011-05-20,4.0
2011-05-21,8.0
2011-05-22,3.0
2011-05-23,10.0
2011-05-24,9.0
2011-05-25,3.0
2011-05-26,6.0
2011-05-27,2.0
2011-05-28,8.0
2011-05-29,2.0
2011-05-30,2.0
2011-05-31,10.0
2011-06-01,6.0
2011-06-02,7.0
2011-06-03,6.0
2011-06-04,10.0
2011-06-05,5.0
2011-06-06,10.0
2011-06-07,6.0
2011-06-08,2.0
2011-06-09,8.0
2011-06-10,4.0
2011-06-11,8.0
2011-06-12,12.0
2011-06-13,9.0
2011-06-14,9.0
2011-06-15,6.0
2011-06-16,7.0
2011-06-17,4.0
2011-06-18,4.0
2011-06-19,6.0
2011-06-20,8.0
2011-06-21,8.0
2011-06-22,7.0
2011-06-23,3.0
2011-06-24,1.0
2011-06-25,6.0
2011-06-26,9.0
2011-06-27,14.0
2011-06-28,7.0
2011-06-29,4.0
2011-06-30,6.0
2011-07-01,10.0
2011-07-02,8.0
2011-07-03,5.0
2011-07-04,9.0
2011-07-05,9.0
2011-07-06,10.0
2011-07-07,6.0
2011-07-08,8.0
2011-07-09,7.0
2011-07-10,6.0
2011-07-11,6.0
2011-07-12,10.0
2011-07-13,7.0
2011-07-14,8.0
2011-07-15,3.0
2011-07-16,5.0
2011-07-17,5.0
2011-07-18,1.0
2011-07-19,7.0
2011-07-20,6.0
2011-07-21,8.0
2011-07-22,7.0
2011-07-23,7.0
2011-07-24,11.0
2011-07-25,9.0
2011-07-26,11.0
2011-07-27,9.0
2011-07-28,14.0
2011-07-29,5.0
2011-07-30,8.0
2011-07-31,9.0
2011-08-01,19.0
2011-08-02,6.0
2011-08-03,7.0
2011-08-04,2.0
2011-08-05,6.0
2011-08-06,9.0
2011-08-07,10.0
2011-08-08,10.0
2011-08-09,15.0
2011-08-10,9.0
2011-08-11,8.0
2011-08-12,6.0
2011-08-13,4.0
2011-08-14,13.0
2011-08-15,15.0
2011-08-16,14.0
2011-08-17,11.0
2011-08-18,6.0
2011-08-19,12.0
2011-08-20,9.0
2011-08-21,4.0
2011-08-22,14.0
2011-08-23,13.0
2011-08-24,2.0
2011-08-25,12.0
2011-08-26,9.0
2011-08-27,6.0
2011-08-28,6.0
2011-08-29,7.0
2011-08-30,19.0
2011-08-31,7.0
2011-09-01,12.0
2011-09-02,6.0
2011-09-03,9.0
2011-09-04,7.0
2011-09-05,11.0
2011-09-06,11.0
2011-09-07,9.0
2011-09-08,10.0
2011-09-09,3.0
2011-09-10,6.0
2011-09-11,6.0
2011-09-12,11.0
2011-09-13,10.0
2011-09-14,5.0
2011-09-15,10.0
2011-09-16,10.0
2011-09-17,6.0
2011-09-18,5.0
2011-09-19,13.0
2011-09-20,10.0
2011-09-21,8.0
2011-09-22,10.0
2011-09-23,4.0
2011-09-24,9.0
2011-09-25,6.0
2011-09-26,15.0
2011-09-27,10.0
2011-09-28,9.0
2011-09-29,6.0
2011-09-30,4.0
2011-10-01,13.0
2011-10-02,8.0
